freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,NR,M,Y30-34,AT34	12724 	13524 	14227 	14886 	15254 	15811 	15956 	16121 	16187 	16164 	15894 	15441 	14980 	14427 	13932 	13415 	13134 	12723 	12394 	12185 	12053 	12029 	12139 	12481 	12693 	13029 	13299 	13603 	13520 	13662 	13678 
A,NR,T,Y30-34,AT34	25106 	26426 	27686 	28884 	29642 	30487 	30793 	31087 	31172 	31112 	31054 	30384 	29645 	28885 	27966 	26843 	26184 	25408 	24779 	24331 	23998 	24152 	24544 	25134 	25624 	26236 	26514 	26912 	26686 	26882 	26909 
A,NR,F,Y30-34,BE10	38068 	38425 	38298 	38416 	38498 	39016 	38857 	39111 	39239 	38998 	39004 	39178 	40551 	41805 	42522 	42679 	43042 	43590 	44737 	46334 	48121 	51105 	51841 	52598 	52490 b	52665 	52413 	52111 	52013 	52595 	52973 
A,NR,M,Y30-34,BE10	37967 	38379 	38229 	38863 	39337 	40304 	40393 	41020 	41258 	41260 	41400 	41761 	43087 	44608 	44910 	44773 	44556 	44968 	45909 	47037 	48504 	52736 	52538 	52590 	51706 b	51481 	51342 	50439 	50179 	50937 	51739 
A,NR,T,Y30-34,BE10	76035 	76804 	76527 	77279 	77835 	79320 	79250 	80131 	80497 	80258 	80404 	80939 	83638 	86413 	87432 	87452 	87598 	88558 	90646 	93371 	96625 	103841 	104379 	105188 	104196 b	104146 	103755 	102550 	102192 	103532 	104712 
A,NR,F,Y30-34,BE21	62587 	63163 	64121 	64988 	65575 	65624 	65618 	64809 	63585 	62049 	60268 	59197 	58516 	57917 	56722 	55184 	53502 	52081 	51789 	52545 	53883 	56392 	58002 	58949 	59565 b	59838 	59431 	59636 	59982 	60357 	61105 
A,NR,M,Y30-34,BE21	65428 	66312 	67061 	67773 	68458 	68537 	68409 	67662 	66217 	64502 	62719 	61171 	60022 	59128 	57917 	56138 	54265 	53240 	53466 	54051 	55114 	58062 	59466 	60065 	60607 b	60475 	60169 	59531 	59767 	60165 	60859 
A,NR,T,Y30-34,BE21	128015 	129475 	131182 	132761 	134033 	134161 	134027 	132471 	129802 	126551 	122987 	120368 	118538 	117045 	114639 	111322 	107767 	105321 	105255 	106596 	108997 	114454 	117468 	119014 	120172 b	120313 	119600 	119167 	119749 	120522 	121964 
A,NR,F,Y30-34,BE22	31340 	31655 	32232 	32582 	32884 	32992 	32909 	32428 	31525 	30515 	29624 	28947 	28171 	27734 	27241 	26617 	25782 	25538 	25702 	26007 	26612 	27481 	27947 	28031 	27709 b	27389 	27061 	26457 	26144 	26169 	26259 
A,NR,M,Y30-34,BE22	32986 	33477 	33965 	34436 	34637 	34607 	34234 	33917 	33151 	32189 	31068 	30275 	29531 	28662 	27837 	27090 	26236 	25913 	25974 	26478 	27047 	28032 	28500 	28759 	28396 b	27661 	27342 	26719 	26176 	26057 	26421 
A,NR,T,Y30-34,BE22	64326 	65132 	66197 	67018 	67521 	67599 	67143 	66345 	64676 	62704 	60692 	59222 	57702 	56396 	55078 	53707 	52018 	51451 	51676 	52485 	53659 	55513 	56447 	56790 	56105 b	55050 	54403 	53176 	52320 	52226 	52680 
A,NR,F,Y30-34,BE23	50143 	50793 	51506 	52191 	52918 	53432 	53620 	53616 	52985 	52211 	51152 	50483 	49977 	49297 	48227 	47186 	45944 	45060 	44895 	45651 	46609 	48190 	48718 	48899 	48693 b	48096 	47463 	47105 	46923 	47285 	48079 
A,NR,M,Y30-34,BE23	52855 	53513 	54396 	55111 	55685 	56172 	56410 	55964 	55414 	54315 	52824 	52166 	51617 	50897 	49855 	49044 	47856 	47036 	46565 	46964 	47910 	49051 	49384 	49678 	49204 b	48413 	48004 	47554 	47429 	47983 	48599 
A,NR,T,Y30-34,BE23	102998 	104306 	105902 	107302 	108603 	109604 	110030 	109580 	108399 	106526 	103976 	102649 	101594 	100194 	98082 	96230 	93800 	92096 	91460 	92615 	94519 	97241 	98102 	98577 	97897 b	96509 	95467 	94659 	94352 	95268 	96678 
A,NR,F,Y30-34,BE24	38683 	39351 	39694 	39996 	40313 	40695 	40540 	40246 	39724 	38846 	37513 	36796 	36117 	35758 	35028 	34333 	33333 	32681 	32450 	32630 	32884 	33639 	34179 	34375 	34319 b	34210 	33764 	33825 	33844 	34139 	34707 
A,NR,M,Y30-34,BE24	39726 	40266 	40637 	40609 	40948 	40954 	40716 	40519 	39770 	38706 	37694 	36824 	36011 	35406 	34549 	33744 	32623 	32103 	31782 	31706 	32209 	33333 	33669 	33865 	33718 b	33119 	32748 	32803 	33034 	33206 	33759 
A,NR,T,Y30-34,BE24	78409 	79617 	80331 	80605 	81261 	81649 	81256 	80765 	79494 	77552 	75207 	73620 	72128 	71164 	69577 	68077 	65956 	64784 	64232 	64336 	65093 	66972 	67848 	68240 	68037 b	67329 	66512 	66628 	66878 	67345 	68466 
A,NR,F,Y30-34,BE25	39961 	40376 	40756 	41190 	41753 	42437 	42468 	42161 	41469 	40287 	39006 	38266 	37677 	37001 	36285 	35269 	33831 	32738 	32252 	32207 	32302 	33086 	33466 	33436 	33415 b	33263 	33048 	32929 	32977 	33312 	33761 
A,NR,M,Y30-34,BE25	42482 	42821 	43540 	44107 	44437 	45066 	45386 	44996 	44212 	43148 	41589 	40488 	39517 	38582 	37647 	36364 	35090 	34003 	33426 	33234 	33288 	34018 	34810 	35141 	35218 b	35132 	34774 	34660 	34522 	34585 	35164 
A,NR,T,Y30-34,BE25	82443 	83197 	84296 	85297 	86190 	87503 	87854 	87157 	85681 	83435 	80595 	78754 	77194 	75583 	73932 	71633 	68921 	66741 	65678 	65441 	65590 	67104 	68276 	68577 	68633 b	68395 	67822 	67589 	67499 	67897 	68925 
A,NR,F,Y30-34,BE31	12334 	12618 	12736 	12854 	13066 	13053 	12913 	12692 	12557 	12302 	12067 	11867 	12029 	11966 	12047 	11960 	11842 	11630 	11365 	11155 	11121 	11187 	11024 	10973 	10978 b	11136 	11261 	11413 	11509 	11801 	12019 
A,NR,M,Y30-34,BE31	12126 	12440 	12554 	12603 	12586 	12549 	12369 	12173 	11894 	11699 	11512 	11278 	11353 	11399 	11432 	11445 	11250 	10963 	10624 	10450 	10401 	10528 	10696 	10802 	10885 b	10948 	11109 	11157 	11380 	11535 	11865 
A,NR,T,Y30-34,BE31	24460 	25058 	25290 	25457 	25652 	25602 	25282 	24865 	24451 	24001 	23579 	23145 	23382 	23365 	23479 	23405 	23092 	22593 	21989 	21605 	21522 	21715 	21720 	21775 	21863 b	22084 	22370 	22570 	22889 	23336 	23884 
A,NR,F,Y30-34,BE32	48817 	48596 	48690 	48821 	48596 	48265 	48024 	47407 	46670 	45856 	45233 	44676 	44679 	45110 	44952 	44323 	43602 	42419 	41420 	40625 	40347 	40766 	41056 	41264 	40974 b	40944 	40718 	40703 	40901 	41803 	42419 
A,NR,M,Y30-34,BE32	49190 	49459 	49399 	49158 	48980 	49011 	48483 	47899 	47385 	46422 	45463 	44940 	45070 	45436 	45769 	45122 	44160 	42783 	41665 	40585 	40131 	40644 	40869 	40948 	40999 b	40976 	40845 	41010 	41434 	42106 	43050 
A,NR,T,Y30-34,BE32	98007 	98055 	98089 	97979 	97576 	97276 	96507 	95306 	94055 	92278 	90696 	89616 	89749 	90546 	90721 	89445 	87762 	85202 	83085 	81210 	80478 	81410 	81925 	82212 	81973 b	81920 	81563 	81713 	82335 	83909 	85469 
A,NR,F,Y30-34,BE33	37953 	38077 	38485 	38404 	38511 	38570 	38418 	37992 	37532 	36777 	35763 	35207 	35098 	34922 	34768 	34421 	33894 	33287 	32601 	32318 	32280 	33109 	33613 	34273 	34365 b	34720 	34931 	35037 	35305 	36018 	36534 
A,NR,M,Y30-34,BE33	39246 	39294 	39725 	39751 	40214 	40059 	39576 	39394 	38999 	38143 	37181 	36306 	36056 	35791 	35545 	34984 	34428 	34049 	33386 	33112 	33257 	34334 	34423 	34952 	34927 b	34921 	35080 	35218 	35482 	36130 	36585 
A,NR,T,Y30-34,BE33	77199 	77371 	78210 	78155 	78725 	78629 	77994 	77386 	76531 	74920 	72944 	71513 	71154 	70713 	70313 	69405 	68322 	67336 	65987 	65430 	65537 	67443 	68036 	69225 	69292 b	69641 	70011 	70255 	70787 	72148 	73119 
A,NR,F,Y30-34,BE34	8544 	8680 	8887 	8963 	9093 	9254 	9298 	9238 	9247 	9128 	8959 	8815 	8795 	8721 	8830 	8671 	8688 	8575 	8514 	8391 	8420 	8555 	8637 	8710 	8593 b	8610 	8591 	8678 	8857 	9147 	9384 
A,NR,M,Y30-34,BE34	9100 	9316 	9552 	9665 	9722 	9784 	9907 	9717 	9623 	9456 	9241 	9081 	9074 	9123 	9188 	9164 	9026 	8804 	8706 	8604 	8533 	8771 	8884 	9011 	8976 b	9019 	9210 	9248 	9270 	9511 	9782 
A,NR,T,Y30-34,BE34	17644 	17996 	18439 	18628 	18815 	19038 	19205 	18955 	18870 	18584 	18200 	17896 	17869 	17844 	18018 	17835 	17714 	17379 	17220 	16995 	16953 	17326 	17521 	17721 	17569 b	17629 	17801 	17926 	18127 	18658 	19166 
A,NR,F,Y30-34,BE35	15785 	15989 	16281 	16424 	16615 	16724 	16670 	16466 	16332 	16020 	15743 	15537 	15375 	15404 	15258 	15286 	15069 	14824 	14550 	14339 	14277 	14697 	14937 	15043 	15166 b	15358 	15354 	15488 	15549 	15988 	16246 
A,NR,M,Y30-34,BE35	16475 	16768 	16898 	16982 	17100 	17255 	17110 	16824 	16549 	16206 	15883 	15687 	15732 	15749 	15790 	15700 	15376 	15096 	14823 	14727 	14806 	15219 	15309 	15426 	15357 b	15356 	15492 	15740 	15872 	15951 	16228 
A,NR,T,Y30-34,BE35	32260 	32757 	33179 	33406 	33715 	33979 	33780 	33290 	32881 	32226 	31626 	31224 	31107 	31153 	31048 	30986 	30445 	29920 	29373 	29066 	29083 	29916 	30246 	30469 	30523 b	30714 	30846 	31228 	31421 	31939 	32474 
A,NR,F,Y30-34,BG31	35551 	34885 	34405 	34046 	33841 	33514 	32836 	32125 	31738 	32159 	32917 	33376 	32590 	32152 	31336 	30418 	29624 	28644 	27976 	26616 	25231 	23777 	22806 	21662 	20829 	20029 	19613 	19313 	19157 	18682 	18220 
A,NR,M,Y30-34,BG31	36960 	36507 	36057 	35691 	35678 	35270 	34460 	33699 	33232 	33270 	33991 	34434 	34480 	34414 	33526 	32755 	31872 	31040 	30132 	29077 	27857 	26655 	25599 	24540 	23648 	22817 	22302 	21993 	21565 	21127 	20540 
A,NR,T,Y30-34,BG31	72511 	71392 	70462 	69737 	69519 	68784 	67296 	65824 	64970 	65429 	66908 	67810 	67070 	66566 	64862 	63173 	61496 	59684 	58108 	55693 	53088 	50432 	48405 	46202 	44477 	42846 	41915 	41306 	40722 	39809 	38760 
A,NR,F,Y30-34,BG32	37672 	35862 	35043 	34415 	34394 	34265 	34136 	33535 	32893 	33091 	33917 	34375 	32565 	32156 	31324 	31144 	30858 	30678 	30441 	29490 	28011 	26500 	25363 	24329 	23671 	23004 	22661 	22488 	22762 	22919 	23097 
A,NR,M,Y30-34,BG32	38145 	36374 	35426 	34654 	34936 	34966 	34783 	33976 	33400 	33718 	34642 	35650 	33620 	33519 	33018 	32889 	32628 	32413 	32294 	31364 	29928 	28639 	27670 	26819 	26322 	25841 	25741 	25516 	25529 	25802 	25817 
A,NR,T,Y30-34,BG32	75817 	72236 	70469 	69069 	69330 	69231 	68919 	67511 	66293 	66809 	68559 	70025 	66185 	65675 	64342 	64033 	63486 	63091 	62735 	60854 	57939 	55139 	53033 	51148 	49993 	48845 	48402 	48004 	48291 	48721 	48914 
A,NR,F,Y30-34,BG33	38529 	37295 	36387 	35776 	35729 	35218 	34502 	33534 	32651 	33241 	33843 	34666 	36203 	36576 	36673 	37397 	37562 	37762 	38255 	37630 	36424 	35077 	34148 	33058 	32636 	31991 	31974 	31677 	31517 	31248 	31116 
A,NR,M,Y30-34,BG33	38721 	37285 	36344 	36025 	36091 	35938 	35280 	34472 	33591 	34281 	35266 	36431 	38415 	38818 	38965 	39250 	39631 	39938 	40448 	39901 	38874 	37387 	36238 	35314 	34787 	34019 	33704 	33470 	32797 	32458 	32172 
A,NR,T,Y30-34,BG33	77250 	74580 	72731 	71801 	71820 	71156 	69782 	68006 	66242 	67522 	69109 	71097 	74618 	75394 	75638 	76647 	77193 	77700 	78703 	77531 	75298 	72464 	70386 	68372 	67423 	66010 	65678 	65147 	64314 	63706 	63288 
A,NR,F,Y30-34,BG34	44021 	43290 	42558 	42097 	41650 	41440 	40792 	39660 	38406 	38579 	39002 	39274 	38666 	38860 	39008 	39218 	39663 	40019 	40269 	39544 	38255 	36971 	35635 	34663 	34011 	33439 	32988 	32772 	32505 	32066 	31662 
A,NR,M,Y30-34,BG34	44632 	43908 	43055 	42351 	41847 	41578 	40633 	39885 	38818 	39203 	39672 	40211 	40023 	40547 	40819 	41556 	41813 	42475 	42932 	42306 	41472 	40587 	39605 	38653 	38257 	37429 	36690 	35762 	35064 	34173 	33144 
A,NR,T,Y30-34,BG34	88653 	87198 	85613 	84448 	83497 	83018 	81425 	79545 	77224 	77782 	78674 	79485 	78689 	79407 	79827 	80774 	81476 	82494 	83201 	81850 	79727 	77558 	75240 	73316 	72268 	70868 	69678 	68534 	67569 	66239 	64806 
A,NR,F,Y30-34,BG41	80144 	78081 	76345 	74964 	73751 	72806 	71287 	69827 	69440 	71356 	74749 	78123 	75746 	76846 	78011 	79723 	81832 	84427 	86777 	87324 	86483 	84732 	82906 	81235 	79833 	78816 	78689 	79542 	80143 	81369 	81853 
A,NR,M,Y30-34,BG41	78580 	76999 	75255 	73834 	72893 	72234 	71066 	69966 	70463 	72354 	75921 	79890 	76451 	78384 	79944 	82200 	84452 	86969 	89689 	90525 	89704 	88441 	86470 	84618 	83422 	82373 	82254 	83254 	83812 	85372 	85583 
A,NR,T,Y30-34,BG41	158724 	155080 	151600 	148798 	146644 	145040 	142353 	139793 	139903 	143710 	150670 	158013 	152197 	155230 	157955 	161923 	166284 	171396 	176466 	177849 	176187 	173173 	169376 	165853 	163255 	161189 	160943 	162796 	163955 	166741 	167436 
A,NR,F,Y30-34,BG42	67110 	65606 	63841 	61382 	60671 	60039 	58985 	57530 	56389 	56444 	57143 	57455 	54253 	53975 	53194 	52586 	52506 	52692 	53082 	52663 	51994 	50921 	49796 	48691 	47909 	46719 	46292 	46067 	45810 	45825 	45759 
A,NR,M,Y30-34,BG42	67659 	66233 	64684 	62339 	61436 	60610 	59449 	57967 	56923 	57396 	58372 	59309 	56459 	56417 	55994 	55836 	56048 	56565 	57079 	57096 	56704 	55636 	54572 	53826 	52854 	51791 	51038 	50021 	49106 	48465 	47489 
A,NR,T,Y30-34,BG42	134769 	131839 	128525 	123721 	122107 	120649 	118434 	115497 	113312 	113840 	115515 	116764 	110712 	110392 	109188 	108422 	108554 	109257 	110161 	109759 	108698 	106557 	104368 	102517 	100763 	98510 	97330 	96088 	94916 	94290 	93248 
A,NR,F,Y30-34,CH01	: 	48643 	51218 	52508 	54172 	55582 	56482 	56666 	56515 	55542 	54466 	53574 	52832 	52594 	52555 	52496 	52025 	51324 	51138 	52142 	52571 	52957 	53657 	53949 	54702 	55874 	56667 	57374 	58015 	59107 	59886 
A,NR,M,Y30-34,CH01	: 	49527 	51504 	52643 	53821 	54851 	55619 	55182 	54655 	53350 	51958 	50613 	49916 	49777 	50080 	50189 	49853 	49527 	49438 	50533 	51255 	52119 	53105 	53866 	54962 	55997 	56561 	57117 	57735 	58613 	59378 
A,NR,T,Y30-34,CH01	: 	98170 	102722 	105151 	107993 	110433 	112101 	111848 	111170 	108892 	106424 	104187 	102748 	102371 	102635 	102685 	101878 	100851 	100576 	102675 	103826 	105076 	106762 	107815 	109664 	111871 	113228 	114491 	115750 	117720 	119264 
A,NR,F,Y30-34,CH02	: 	60822 	63768 	65057 	66663 	67098 	67722 	67837 	67489 	66907 	65694 	64269 	63484 	61772 	59771 	58045 	56460 	55138 	54528 	54314 	54680 	55133 	56221 	57499 	58948 	60099 	61173 	61714 	61772 	62762 	63332 
A,NR,M,Y30-34,CH02	: 	63737 	65545 	66994 	68181 	68739 	69169 	69246 	68178 	66920 	65168 	63056 	62514 	61027 	59224 	57661 	56029 	54650 	54265 	54283 	54352 	54925 	56408 	57893 	59424 	60851 	61448 	62403 	62593 	63299 	63727 
A,NR,T,Y30-34,CH02	: 	124559 	129313 	132051 	134844 	135837 	136891 	137083 	135667 	133827 	130862 	127325 	125998 	122799 	118995 	115706 	112489 	109788 	108793 	108597 	109032 	110058 	112629 	115392 	118372 	120950 	122621 	124117 	124365 	126061 	127059 
A,NR,F,Y30-34,CH03	: 	35312 	38314 	38710 	39839 	41437 	41841 	42176 	42052 	41389 	40506 	39373 	38312 	37339 	36117 	34893 	33696 	33091 	33013 	33469 	34075 	34980 	35730 	36943 	38125 	38948 	39464 	39936 	40115 	40292 	40409 
A,NR,M,Y30-34,CH03	: 	36876 	39468 	40223 	41259 	42850 	43211 	43069 	42523 	41715 	40410 	38858 	37768 	36665 	35238 	34310 	33331 	32723 	32841 	33645 	34280 	35303 	36445 	37704 	38742 	40004 	40329 	40746 	40870 	40978 	41092 
A,NR,T,Y30-34,CH03	: 	72188 	77782 	78933 	81098 	84287 	85052 	85245 	84575 	83104 	80916 	78231 	76080 	74004 	71355 	69203 	67027 	65814 	65854 	67114 	68355 	70283 	72175 	74647 	76867 	78952 	79793 	80682 	80985 	81270 	81501 
A,NR,F,Y30-34,CH04	: 	46691 	47215 	48186 	49423 	50299 	50968 	51214 	50942 	50436 	50131 	49765 	51630 	50953 	49615 	48691 	48004 	47480 	48323 	49642 	50865 	55170 	56563 	57956 	58584 	59546 	60144 	60757 	61243 	62276 	62864 
A,NR,M,Y30-34,CH04	: 	48473 	48607 	49540 	50794 	51855 	52199 	52236 	51646 	50741 	50139 	49988 	53172 	52061 	50384 	49172 	48167 	47528 	48808 	50329 	51447 	56382 	57881 	59042 	59745 	60608 	61076 	61728 	62211 	63271 	64353 
A,NR,T,Y30-34,CH04	: 	95164 	95822 	97726 	100217 	102154 	103167 	103450 	102588 	101177 	100270 	99753 	104802 	103014 	99999 	97863 	96171 	95008 	97131 	99971 	102312 	111552 	114444 	116998 	118329 	120154 	121220 	122485 	123454 	125547 	127217 
A,NR,F,Y30-34,CH05	: 	36270 	39032 	40585 	42231 	43591 	44494 	44922 	44633 	43995 	42997 	41764 	39248 	38161 	37298 	36220 	35292 	34641 	34899 	35233 	35607 	33251 	34232 	35226 	36111 	36951 	37608 	38031 	38353 	38867 	39281 
A,NR,M,Y30-34,CH05	: 	36851 	40739 	42411 	44008 	45502 	46101 	46450 	45508 	44316 	42521 	40677 	38966 	38253 	37472 	36671 	35816 	35141 	35431 	35936 	36044 	34964 	36186 	37598 	38831 	39965 	40572 	40914 	40963 	41455 	41879 
A,NR,T,Y30-34,CH05	: 	73121 	79771 	82996 	86239 	89093 	90595 	91372 	90141 	88311 	85518 	82441 	78214 	76414 	74770 	72891 	71108 	69782 	70330 	71169 	71651 	68215 	70418 	72824 	74942 	76916 	78180 	78945 	79316 	80322 	81160 
A,NR,F,Y30-34,CH06	: 	23610 	25607 	26677 	27866 	28712 	29411 	29964 	29935 	29695 	29235 	28577 	27800 	27291 	26273 	25265 	24784 	24210 	24076 	24341 	24669 	24418 	24828 	25503 	25973 	26429 	26653 	27044 	27080 	27437 	27718 
A,NR,M,Y30-34,CH06	: 	24418 	27511 	28350 	29136 	30111 	30677 	30885 	30567 	29859 	28825 	27859 	27965 	27335 	26389 	25518 	24747 	24108 	24137 	24376 	24341 	24977 	25520 	26060 	26616 	27196 	27734 	28371 	28410 	28814 	28935 
A,NR,T,Y30-34,CH06	: 	48028 	53118 	55027 	57002 	58823 	60088 	60849 	60502 	59554 	58060 	56436 	55765 	54626 	52662 	50783 	49531 	48318 	48213 	48717 	49010 	49395 	50348 	51563 	52589 	53625 	54387 	55415 	55490 	56251 	56653 
A,NR,F,Y30-34,CH07	: 	10059 	11005 	11423 	12003 	12699 	13098 	13293 	13357 	13300 	13183 	13023 	13001 	12846 	12641 	12292 	11790 	11459 	11203 	10910 	10809 	10261 	10222 	10124 	10146 	9995 	9962 	9954 	9712 	9597 	9569 
A,NR,M,Y30-34,CH07	: 	9002 	10595 	11038 	11689 	12275 	12997 	13204 	13286 	13139 	13016 	12645 	12316 	12101 	11843 	11458 	11146 	10748 	10610 	10471 	10188 	9968 	9820 	9798 	9825 	9985 	9893 	10011 	9823 	9722 	9658 
A,NR,T,Y30-34,CH07	: 	19061 	21600 	22461 	23692 	24974 	26095 	26497 	26643 	26439 	26199 	25668 	25317 	24947 	24484 	23750 	22936 	22207 	21813 	21381 	20997 	20229 	20042 	19922 	19971 	19980 	19855 	19965 	19535 	19319 	19227 
A,NR,F,Y30-34,CY00	22444 	23231 	24074 	24906 	25469 	25718 	25740 	25703 	25694 	25682 	25506 	25647 	26117 	26608 	27254 	27727 	27776 	28567 	29143 	30335 	32199 	34619 	36728 	37398 	36952 	36032 	35392 	35658 	36574 	37254 	37796 
A,NR,M,Y30-34,CY00	22668 	23536 	24493 	25510 	25687 	25573 	25298 	24982 	24709 	24469 	24049 	23821 	23157 	23687 	24264 	24557 	24602 	25255 	25962 	26965 	28386 	30656 	32916 	33799 	34113 	32182 	32483 	33031 	33884 	35955 	37273 
A,NR,T,Y30-34,CY00	45112 	46767 	48567 	50416 	51156 	51291 	51038 	50685 	50403 	50151 	49555 	49468 	49274 	50295 	51518 	52284 	52378 	53822 	55105 	57300 	60585 	65275 	69644 	71197 	71065 	68214 	67875 	68689 	70458 	73209 	75069 
A,NR,F,Y30-34,CZ01	: 	: 	36759 	36160 	37341 	39517 	41061 	41866 	42142 	41057 	39904 	38914 	39192 	40709 	43506 	47234 	50887 	53950 	57801 	59721 	60193 	59076 	57571 	56008 	53866 	52921 	52592 	53181 	53310 	53911 	53856 
A,NR,M,Y30-34,CZ01	: 	: 	34605 	34257 	35381 	37630 	39077 	39815 	40189 	39274 	38117 	37796 	38350 	40365 	43720 	47817 	52091 	55313 	59918 	62454 	63230 	61865 	60342 	58363 	55207 	53812 	53071 	53426 	53675 	54635 	54789 
A,NR,T,Y30-34,CZ01	: 	: 	71364 	70417 	72722 	77147 	80138 	81681 	82331 	80331 	78021 	76710 	77542 	81074 	87226 	95051 	102978 	109263 	117719 	122175 	123423 	120941 	117913 	114371 	109073 	106733 	105663 	106607 	106985 	108546 	108645 
A,NR,F,Y30-34,CZ02	: 	: 	33336 	32037 	32094 	33359 	34348 	34828 	35448 	35395 	35418 	36360 	37788 	39644 	42567 	46122 	49569 	52473 	55382 	57286 	57367 	55807 	53988 	51749 	49166 	47132 	46083 	45233 	44805 	44934 	44658 
A,NR,M,Y30-34,CZ02	: 	: 	34617 	33438 	33546 	34821 	35806 	36448 	37043 	37034 	36985 	38567 	39777 	41455 	44602 	48144 	51779 	54866 	57630 	59743 	58789 	57230 	54846 	52274 	49552 	47570 	46292 	45674 	45231 	45399 	45453 
A,NR,T,Y30-34,CZ02	: 	: 	67953 	65475 	65640 	68180 	70154 	71276 	72491 	72429 	72403 	74927 	77565 	81099 	87169 	94266 	101348 	107339 	113012 	117029 	116156 	113037 	108834 	104023 	98718 	94702 	92375 	90907 	90036 	90333 	90111 
A,NR,F,Y30-34,CZ03	: 	: 	37652 	36252 	36399 	37434 	38042 	38385 	38532 	38108 	37804 	38105 	38780 	40355 	42899 	45654 	48092 	50174 	51418 	51592 	50325 	48318 	46018 	44092 	42178 	40727 	39893 	39508 	39124 	39043 	39112 
A,NR,M,Y30-34,CZ03	: 	: 	39211 	37691 	38007 	39262 	40224 	40900 	41300 	40632 	40092 	39995 	40434 	41843 	44584 	47298 	49754 	51754 	53368 	53870 	52839 	50890 	48908 	47039 	45197 	43598 	42664 	42188 	41915 	42062 	42131 
A,NR,T,Y30-34,CZ03	: 	: 	76863 	73943 	74406 	76696 	78266 	79285 	79832 	78740 	77896 	78100 	79214 	82198 	87483 	92952 	97846 	101928 	104786 	105462 	103164 	99208 	94926 	91131 	87375 	84325 	82557 	81696 	81039 	81105 	81243 
A,NR,F,Y30-34,CZ04	: 	: 	34932 	33643 	33880 	35441 	36523 	37597 	38282 	37891 	37372 	37669 	38570 	40097 	42458 	45230 	47414 	48688 	49212 	48630 	46924 	44334 	41643 	39843 	37838 	36044 	35316 	34907 	34347 	34223 	33964 
A,NR,M,Y30-34,CZ04	: 	: 	35943 	34867 	35546 	37242 	38541 	39419 	39929 	39308 	39054 	39242 	39993 	41603 	44404 	47139 	49319 	50691 	51736 	51276 	49461 	47004 	44852 	43003 	41122 	39574 	39094 	38644 	38296 	38093 	37668 
A,NR,T,Y30-34,CZ04	: 	: 	70875 	68510 	69426 	72683 	75064 	77016 	78211 	77199 	76426 	76911 	78563 	81700 	86862 	92369 	96733 	99379 	100948 	99906 	96385 	91338 	86495 	82846 	78960 	75618 	74410 	73551 	72643 	72316 	71632 
A,NR,F,Y30-34,CZ05	: 	: 	45266 	44114 	44587 	46098 	47277 	47957 	48260 	47778 	47543 	48022 	49358 	51411 	54364 	57852 	60612 	62972 	64270 	64160 	62303 	59468 	56308 	53610 	50821 	48740 	47985 	47273 	46874 	47073 	46747 
A,NR,M,Y30-34,CZ05	: 	: 	46732 	45167 	45669 	47343 	48689 	49481 	49999 	49751 	49491 	50125 	51405 	53367 	56699 	60561 	63765 	66465 	68342 	68654 	66665 	63949 	60533 	57679 	54827 	52599 	51500 	51102 	50825 	50643 	50601 
A,NR,T,Y30-34,CZ05	: 	: 	91998 	89281 	90256 	93441 	95966 	97438 	98259 	97529 	97034 	98147 	100763 	104778 	111063 	118413 	124377 	129437 	132612 	132814 	128968 	123417 	116841 	111289 	105648 	101339 	99485 	98375 	97699 	97716 	97348 
A,NR,F,Y30-34,CZ06	: 	: 	52708 	51087 	51437 	52925 	54168 	54603 	55077 	54426 	53892 	53521 	54360 	56079 	59253 	63265 	66472 	69196 	71343 	71559 	70282 	67824 	65405 	63043 	60782 	58758 	57918 	57266 	56446 	56246 	55781 
A,NR,M,Y30-34,CZ06	: 	: 	55472 	54003 	54357 	56095 	57256 	57892 	58451 	57946 	57460 	56670 	57508 	59130 	62664 	66295 	69944 	73050 	75403 	75818 	74765 	72498 	69593 	67377 	65036 	63160 	62411 	61929 	60968 	60462 	59692 
A,NR,T,Y30-34,CZ06	: 	: 	108180 	105090 	105794 	109020 	111424 	112495 	113528 	112372 	111352 	110191 	111868 	115209 	121917 	129560 	136416 	142246 	146746 	147377 	145047 	140322 	134998 	130420 	125818 	121918 	120329 	119195 	117414 	116708 	115473 
A,NR,F,Y30-34,CZ07	: 	: 	40248 	39245 	39618 	40639 	41105 	41243 	41349 	40562 	40209 	40110 	40860 	42287 	44504 	47050 	49512 	51264 	52288 	52034 	50556 	48196 	46102 	43839 	41731 	40012 	39162 	38353 	37840 	37711 	37422 
A,NR,M,Y30-34,CZ07	: 	: 	42245 	41018 	41464 	42638 	43081 	43472 	43756 	43154 	42594 	42327 	42842 	44506 	47116 	49879 	52592 	54704 	55596 	55322 	53939 	51663 	49324 	47170 	44996 	43057 	42129 	41356 	40793 	40691 	40382 
A,NR,T,Y30-34,CZ07	: 	: 	82493 	80263 	81082 	83277 	84186 	84715 	85105 	83716 	82803 	82437 	83702 	86793 	91620 	96929 	102104 	105968 	107884 	107356 	104495 	99859 	95426 	91009 	86727 	83069 	81291 	79709 	78633 	78402 	77804 
