freq,unit,sex,age,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,NR,T,TOTAL,AT21	544983 	547752 	552345 	558114 	559735 	560708 	561845 	561549 	561012 	560938 	560696 	559571 	559933 	558623 	558026 	558926 	559277 	559393 	559715 	559462 	557998 	556718 	556027 	555473 	555881 	557641 	560482 	561077 	560898 	560939 	561293 
A,NR,F,TOTAL,AT22	607186 	607195 	609250 	612014 	612120 	611935 	611263 	610520 	610126 	609500 	609151 	608651 	610634 	610621 	611839 	613698 	615312 	615797 	616339 	616814 	616649 	617069 	617483 	617975 	619404 	621265 	624786 	627019 	628161 	629219 	630823 
A,NR,M,TOTAL,AT22	562392 	564468 	568135 	572799 	573992 	574201 	574275 	574067 	573913 	573874 	573779 	573790 	577483 	578694 	580329 	583082 	585542 	586686 	587362 	587981 	588396 	589542 	591213 	592996 	595842 	600305 	607226 	610279 	612053 	613833 	615572 
A,NR,T,TOTAL,AT22	1169578 	1171663 	1177385 	1184813 	1186112 	1186136 	1185538 	1184587 	1184039 	1183374 	1182930 	1182441 	1188117 	1189315 	1192168 	1196780 	1200854 	1202483 	1203701 	1204795 	1205045 	1206611 	1208696 	1210971 	1215246 	1221570 	1232012 	1237298 	1240214 	1243052 	1246395 
A,NR,F,TOTAL,AT31	670153 	675668 	683873 	691529 	695867 	697721 	698241 	698765 	699175 	700129 	701606 	702929 	705153 	706590 	708602 	711962 	714118 	715355 	716203 	716999 	717201 	717375 	718572 	720064 	722883 	727840 	733791 	738861 	742757 	746696 	750465 
A,NR,M,TOTAL,AT31	626673 	635609 	645985 	654530 	659681 	662330 	663647 	664603 	665157 	666449 	668429 	670205 	672650 	675942 	678886 	682764 	686169 	688308 	689559 	691620 	692052 	692847 	695294 	698434 	702539 	709411 	720157 	726184 	730819 	735399 	739814 
A,NR,T,TOTAL,AT31	1296826 	1311277 	1329858 	1346059 	1355548 	1360051 	1361888 	1363368 	1364332 	1366578 	1370035 	1373134 	1377803 	1382532 	1387488 	1394726 	1400287 	1403663 	1405762 	1408619 	1409253 	1410222 	1413866 	1418498 	1425422 	1437251 	1453948 	1465045 	1473576 	1482095 	1490279 
A,NR,F,TOTAL,AT32	246020 	250219 	253624 	258024 	260321 	261408 	262300 	263463 	264264 	264392 	265202 	266112 	267009 	266885 	267987 	269175 	270421 	270939 	270837 	271165 	271178 	271855 	272648 	273680 	274675 	276378 	278648 	280536 	282253 	283641 	285243 
A,NR,M,TOTAL,AT32	225815 	230547 	235209 	240587 	243527 	245218 	245953 	246560 	246709 	246841 	247652 	248739 	250041 	250199 	251704 	253194 	254499 	255109 	255107 	255534 	255552 	256031 	257056 	258218 	259595 	262197 	267167 	268727 	270326 	271580 	273167 
A,NR,T,TOTAL,AT32	471835 	480766 	488833 	498611 	503848 	506626 	508253 	510023 	510973 	511233 	512854 	514851 	517050 	517084 	519691 	522369 	524920 	526048 	525944 	526699 	526730 	527886 	529704 	531898 	534270 	538575 	545815 	549263 	552579 	555221 	558410 
